,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord
0,8.4,28.6871503,76.9650556,Red Chilli Chinese Food,0,"PVC Markat Road, Tikri Kalan, Delhi","PVC Markat Rd, Tikri Kalan, Delhi, 110041, India",0,0,1.4433911890899906,17.310904800657468
1,7.4,28.6785654,76.9745406,Abdul Kadir,1,"Rohtak Road, Tikri Kalan, Delhi","Rohtak Rd, Tikri Kalan, Delhi, 110072, India",0,0,2.7652696022559122,17.16669454325287
2,8.2,28.6882564,76.9505351,Veer Ji Restaurant & Banquet,0,"MIE Part-B, Bahadurgarh","MIE Part-B, Bahadurgarh, Haryana 124507, India",0,0,0.27350533580150416,16.50155190783367
3,8.0,28.7016117,76.9764417,Babas' Snack bar,0,"Unnamed Road,, Delhi","Unnamed Road,, Delhi, 110081, India",1,0,1.273346281176079,19.257526270801364
4,7.2,28.7380931,77.0070774,Bikaner Sweets,1,"kanjhawla chowk, Delhi","kanjhawla chowk, Chandpur Village, Delhi, 110081, India",0,0,0.9881347981955452,24.28684512990027
5,8.0,28.73325,77.0249937,Food On Wheelz,1,"near heera sweet, Kanjhawala Road, Budh Vihar Phase I, Rohini","near heera sweet, Kanjhawala Rd, Budh Vihar Phase I, Rohini, Delhi, 110086, India",0,0,2.678115577129955,24.987392590083548
6,7.0,28.7364033,77.025128,Anjali snacks corner,0,"Rupali Enclave, Karala, Delhi","Rupali Enclave, Karala, Delhi, 110081, India",1,0,2.4645500505089566,25.265607288047033
7,9.0,28.7325794,77.0345057,Dipper Restaurant,0,"Karala Village, Karala, Delhi","Karala Village, Karala, Delhi, 110081, India",0,0,3.440494133964332,25.52201079168127
8,9.6,28.7314948,77.0365726999999,Shree Radhey Radhey family restaurant,0,"Kanjhawala Road, Karala Village, Karala","Kanjhawala Rd, Karala Village, Karala, Delhi, 110081, India",0,0,3.6727513256060216,25.557845978059362
9,7.4,28.7538544,77.0528051,Anytime Snacks,0,"H-206/3A, Shop, No. 7, Opposite Gurudwara, New Seelampur, Delhi","H-206/3A, Shop, No. 7, Opposite Gurudwara, New Seelampur, Sultanpur Dabas, Delhi, 110053, India",1,0,3.306668725605552,28.481391911245815
10,8.6,28.7494716,77.0565333,Al Karim's Food,0,"D mall, Rohini, New Delhi","D mall, Sector 37, Rohini, New Delhi, Delhi 110039, India",0,0,3.8976675500683875,28.33835730536437
